REPORTER_DEA_NO	REPORTER_BUS_ACT	REPORTER_NAME	REPORTER_ADDL_CO_INFO	REPORTER_ADDRESS1	REPORTER_ADDRESS2	REPORTER_CITY	REPORTER_STATE	REPORTER_ZIP	REPORTER_COUNTY	BUYER_DEA_NO	BUYER_BUS_ACT	BUYER_NAME	BUYER_ADDL_CO_INFO	BUYER_ADDRESS1	BUYER_ADDRESS2	BUYER_CITY	BUYER_STATE	BUYER_ZIP	BUYER_COUNTY	TRANSACTION_CODE	DRUG_CODE	NDC_NO	DRUG_NAME	QUANTITY	UNIT	ACTION_INDICATOR	ORDER_FORM_NO	CORRECTION_NO	STRENGTH	TRANSACTION_DATE	CALC_BASE_WT_IN_GM	DOSAGE_UNIT	TRANSACTION_ID	Product_Name	Ingredient_Name	Measure	MME_Conversion_Factor	Combined_Labeler_Name	Revised_Company_Name	Reporter_family	dos_str
PM0001951	DISTRIBUTOR	MCKESSON CORPORATION	null	DBA MCKESSON DRUG CO.	4836 SOUTHRIDGE BLVD	MEMPHIS	TN	38141	SHELBY	BC8859160	RETAIL PHARMACY	CURRIE'S FAMILY CARE PHARMACY	null	702 EARL FRYE BLVD	null	AMORY	MS	38821	MONROE	S	9143	60951070070	OXYCODONE	1.0	null	null	12X000133	null	null	10172012	0.672375	100.0	1210044376	ENDOCET - 7.5MG OXYCODONE.HCL/325MG	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	McKesson Corporation	7.5
PM0000771	DISTRIBUTOR	MCKESSON CORPORATION	null	1515 KENDRICK LANE	null	LAKELAND	FL	33805	POLK	BC7573377	RETAIL PHARMACY	CENTRAL FL FAMILY HLTH CTR	TRUE HEALTH	5449 SOUTH SEMORAN BLVD, SUITE 14	null	ORLANDO	FL	32822	ORANGE	S	9193	53746010901	HYDROCODONE	1.0	null	null	null	null	null	03192012	0.3027	100.0	1203057614	HYDROCODONE BIT./ACETAMINOPHEN TABS.	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Amneal Pharmaceuticals LLC	Amneal Pharmaceuticals, Inc.	McKesson Corporation	5.0
RC0315108	DISTRIBUTOR	CVS PHARMACY, INC.	null	225 HARPERS LANDING BLVD	null	CONROE	TX	77385	MONTGOMERY	BC8831035	CHAIN PHARMACY	CVS PHARMACY, INC.	DBA: CVS/PHARMACY  # 05969	5725 N. ELDRIDGE PKWY.	null	HOUSTON	TX	77041	HARRIS	S	9193	00406036105	HYDROCODONE	1.0	null	null	null	null	null	12212012	3.0269999999999997	500.0	11297	HYDROCODO.BIT 10MG&AC USP TAB	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	SpecGx LLC	Mallinckrodt	CVS	10.0
PW0186785	DISTRIBUTOR	WAL-MART PHARM WAREHOUSE #1	null	2252 NORTH 8TH STREET	null	ROGERS	AR	72756	BENTON	BW5566154	CHAIN PHARMACY	WAL-MART PHARMACY 10-0565	null	3801 W HWY 31	null	CORSICANA	TX	75110	NAVARRO	S	9193	00406036501	HYDROCODONE	1.0	null	null	null	null	null	05072012	0.3027	100.0	1205042458	HYDROCODONE BIT/ACETA 5MG/325MG USP	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	SpecGx LLC	Mallinckrodt	Wal-Mart	5.0
RB0363630	DISTRIBUTOR	AMERISOURCEBERGEN DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	AM9246631	RETAIL PHARMACY	MAIORINO PHARMACY & SURGICAL INC	D/B/A HOLBROOK PHARMACY AND SURGICAL	233 UNION AVENUE	null	HOLBROOK	NY	11741	SUFFOLK	S	9143	00603499121	OXYCODONE	2.0	null	null	12X000324	null	null	08072012	2.6895	200.0	1937	OXYCODONE HCL 15MG USP TABLETS	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	AmerisourceBergen Drug	15.0
RC0238104	DISTRIBUTOR	CARDINAL HEALTH	null	2512 WESTCOTT BLVD	null	KNOXVILLE	TN	37931	KNOX	BC6284208	CHAIN PHARMACY	TENNESSEE CVS PHARMACY, L.L.C.	DBA: CVS/PHARMACY  # 02404	417 EMORY ROAD	null	POWELL	TN	37849	KNOX	S	9143	00603499121	OXYCODONE	10.0	null	null	120060274	null	null	02272012	13.4475	1000.0	1202080695	OXYCODONE HCL 15MG USP TABLETS	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Cardinal Health	15.0
RM0336950	DISTRIBUTOR	MCKESSON CORPORATION	null	6775 JEFFERSON METROPOLITAN	null	MCCALLA	AL	35111	JEFFERSON	AS2048557	RETAIL PHARMACY	SARTIN'S DISCOUNT DRUGS INC	null	4300 15TH STREET	SUITE 1	GULFPORT	MS	39501	HARRISON	S	9143	60951071270	OXYCODONE	5.0	null	null	12X000025	null	null	02092012	4.4825	500.0	1202059565	ENDOCET - 10MG OXYCODONE.HCL/325MG A	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	McKesson Corporation	10.0
RS0261379	DISTRIBUTOR	SMITH'S FOOD & DRUG CTR'S INC	null	D/B/A PEYTON'S PHOENIX	5305 W BUCKEYE RD	PHOENIX	AZ	85043	MARICOPA	BF5676424	CHAIN PHARMACY	FRED MEYER	null	800 YELLOWSTONE AVENUE	null	POCATELLO	ID	83201	BANNOCK	S	9193	00406036501	HYDROCODONE	2.0	null	null	null	null	null	08012012	0.6054	200.0	10915	HYDROCODONE BIT/ACETA 5MG/325MG USP	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	SpecGx LLC	Mallinckrodt	Smith's Food & Drug Ctr's Inc	5.0
RW0165731	DISTRIBUTOR	WAL-MART PHARMACY WAREHOUSE	null	#28	801 COR-DA BOULEVARD	CRAWFORDSVILLE	IN	47933	MONTGOMERY	BW5593199	CHAIN PHARMACY	WAL-MART PHARMACY 10-1026	null	3200 JOHN WILLIAMS BLVD	null	BEDFORD	IN	47421	LAWRENCE	S	9193	00603388728	HYDROCODONE	1.0	null	null	null	null	null	07042012	3.0269999999999997	500.0	1207031452	HYDROCODONE.BIT./ACET.,10MG & 325MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Wal-Mart	10.0
PM0038693	DISTRIBUTOR	MCKESSON CORPORATION	null	DBA MCKESSON DRUG CO,	7009 SOUTH 108 STREET	LA VISTA	NE	68128	SARPY	FD1123506	RETAIL PHARMACY	DTAG PHARMACIES, INC.	ABC DRUG	2123 CENTRAL AVE	null	KEARNEY	NE	68847	BUFFALO	S	9143	00406051201	OXYCODONE	2.0	null	null	12X000082	null	null	09252012	0.8965	200.0	1209007549	OXYCODONE HCL/ACETAMINOPHEN 5MG/325M	OXYCODONE HYDROCHLORIDE	TAB	1.5	SpecGx LLC	Mallinckrodt	McKesson Corporation	5.0
RC0221236	DISTRIBUTOR	CARDINAL HEALTH	null	1240 GLUCKSTADT ROAD	null	MADISON	MS	39110	MADISON	BC5290426	CHAIN PHARMACY	HOLIDAY CVS, L.L.C.	DBA: CVS/PHARMACY  # 03349	19070 S TAMIAMI TRAIL	null	FORT MYERS	FL	33908	LEE	S	9143	59011043010	OXYCODONE	4.0	null	null	121265574	null	null	06042012	10.758	400.0	1206010783	OXYCONTIN 30MG OXYCODONE HCL CR TABL	OXYCODONE HYDROCHLORIDE	TAB	1.5	Purdue Pharma LP	Purdue Pharma LP	Cardinal Health	30.0
PR0040357	DISTRIBUTOR	MCKESSON CORPORATION	null	DBA MCKESSON DRUG CO	2975 EVERGREEN DR	DULUTH	GA	30096	GWINNETT	FW1172737	RETAIL PHARMACY	WELLADVANTAGE EMPLOYEE PHARMACY	ON-SITE RX, INC	620 EAST 11TH STREET	null	CHATTANOOGA	TN	37403	HAMILTON	S	9143	59011044010	OXYCODONE	3.0	null	null	12X000072	null	null	06152012	10.758	300.0	1206071761	OXYCONTIN 40MG OXYCODONE HCL CR TABL	OXYCODONE HYDROCHLORIDE	TAB	1.5	Purdue Pharma LP	Purdue Pharma LP	McKesson Corporation	40.0
RW0199908	DISTRIBUTOR	WAL-MART PHCY WAREHOUSE #46	null	11121 ELLIOT PLACE	null	WILLIAMSPORT	MD	21795	WASHINGTON	BW7443954	CHAIN PHARMACY	WAL-MART PHARMACY 10-5040	null	2200 WASHINGTON PIKE	null	CARNEGIE	PA	15106	ALLEGHENY	S	9193	00406035705	HYDROCODONE	1.0	null	null	null	null	null	09282012	1.5135	500.0	1209006839	HYDROCODONE BIT/ACETAMINOPHEN 5MG/50	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	SpecGx LLC	Mallinckrodt	Wal-Mart	5.0
RW0231908	DISTRIBUTOR	CARDINAL HEALTH	null	2353 PROSPECT DR	null	AURORA	IL	60502	DUPAGE	AH9350618	CHAIN PHARMACY	HOOK-SUPERX, L.L.C.	DBA: CVS/PHARMACY  # 06603	5005 EAST 56TH ST.	null	INDIANAPOLIS	IN	46226	MARION	S	9193	64376064901	HYDROCODONE	2.0	null	null	null	null	null	10302012	0.9081	200.0	1210123124	HYDROCODONE BIT & ACETAMINOPHEN 7.5M	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Cardinal Health	7.5
RK0416900	DISTRIBUTOR	CARDINAL HEALTH 110, LLC	DBA KINRAY	152-35 10TH AVENUE	null	WHITESTONE	NY	11357	QUEENS	BW5584051	RETAIL PHARMACY	WILLITS ROAD PHARMACY	null	3122-24 WILLITS ROAD	null	PHILADELPHIA	PA	19136	PHILADELPHIA	S	9143	59011044010	OXYCODONE	1.0	null	null	12X000093	null	null	05072012	3.5860000000000003	100.0	57590	OXYCONTIN 40MG OXYCODONE HCL CR TABL	OXYCODONE HYDROCHLORIDE	TAB	1.5	Purdue Pharma LP	Purdue Pharma LP	Cardinal Health	40.0
RW0165731	DISTRIBUTOR	WAL-MART PHARMACY WAREHOUSE	null	#28	801 COR-DA BOULEVARD	CRAWFORDSVILLE	IN	47933	MONTGOMERY	BW5593959	CHAIN PHARMACY	WAL-MART PHARMACY 10-1310	null	5555 SOUTH U.S. HWY 41	null	TERRE HAUTE	IN	47802	VIGO	S	9193	00406036001	HYDROCODONE	1.0	null	null	null	null	null	12072012	0.45405	100.0	1212009280	HYDROCODO.BIT/APAP 7.5MG/750MG USP T	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	SpecGx LLC	Mallinckrodt	Wal-Mart	7.5
RW0294493	DISTRIBUTOR	WALGREEN CO	null	28727 OREGON ROAD	ATTN: C II MANAGER	PERRYSBURG	OH	43551	WOOD	BW8682507	CHAIN PHARMACY	WALGREEN CO.	DBA: WALGREENS # 07660	1220 N MITCHELL	null	CADILLAC	MI	49601	WEXFORD	S	9193	00591034905	HYDROCODONE	2.0	null	null	null	null	null	08232012	3.0269999999999997	1000.0	24070	HYDROCODONE BIT 5MG/ACETAMINOPHEN 50	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Actavis Pharma, Inc.	Allergan, Inc.	Walgreen Co	5.0
RA0316958	DISTRIBUTOR	AMERISOURCEBERGEN DRUG CORPORATION	null	501 PATRIOT PARKWAY	null	ROANOKE	TX	76262	DENTON	AP2037554	RETAIL PHARMACY	PARKS DRUG	null	1926 W. MORTON	null	DENISON	TX	75020	GRAYSON	S	9193	00591054005	HYDROCODONE	3.0	null	null	null	null	null	03132012	9.081	1500.0	32295	HYDROCODONE BIT. 10MG/ACETAMINOPHEN	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Actavis Pharma, Inc.	Allergan, Inc.	AmerisourceBergen Drug	10.0
RK0233180	DISTRIBUTOR	KROGER LIMITED PARTNERSHIP I	null	DBA PEYTON'S SOUTHEASTERN	153 REFRESHMENT LANE	CLEVELAND	TN	37311	BRADLEY	BK6244886	CHAIN PHARMACY	KROGER	null	14889 NORTH US HWY. 25E	SUITE A	CORBIN	KY	40701	WHITLEY	S	9193	00406036501	HYDROCODONE	1.0	null	null	null	null	null	12062012	0.3027	100.0	16196	HYDROCODONE BIT/ACETA 5MG/325MG USP	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	SpecGx LLC	Mallinckrodt	Kroger	5.0
RW0269654	DISTRIBUTOR	CARDINAL HEALTH	null	1120 COMMERCE BLVD	null	SWEDESBORO	NJ	8085	GLOUCESTER	BC0705472	CHAIN PHARMACY	PENNSYLVANIA CVS PHARMACY, L.L.C.	DBA: CVS/PHARMACY  # 00813	1034 SECOND STREET PIKE	null	RICHBORO	PA	18954	BUCKS	S	9143	59011041510	OXYCODONE	1.0	null	null	120445526	null	null	05302012	1.34475	100.0	1205085757	OXYCONTIN 15MG OXYCODONE HCL CR TABL	OXYCODONE HYDROCHLORIDE	TAB	1.5	Purdue Pharma LP	Purdue Pharma LP	Cardinal Health	15.0
RE0356003	DISTRIBUTOR	ECKERD CORPORATION	D/B/A RITE AID LIVERPOOL DISTRIBUTION CENTER (#55)	7245 HENRY CLAY BLVD	null	LIVERPOOL	NY	13088	ONONDAGA	BR5278987	CHAIN PHARMACY	ECKERD CORPORATION	RITE AID #10794	82 NORTH BROAD STREET	null	NORWICH	NY	13815	CHENANGO	S	9193	00603388621	HYDROCODONE	1.0	null	null	null	null	null	09052012	0.6054	100.0	1745	HYDROCODONE BITARTRATE AND ACETA 10M	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Eckerd Corporation	10.0
RW0294493	DISTRIBUTOR	WALGREEN CO	null	28727 OREGON ROAD	ATTN: C II MANAGER	PERRYSBURG	OH	43551	WOOD	BW6525301	CHAIN PHARMACY	WALGREEN CO.	DBA: WALGREENS # 04896	185 E 33RD STREET	null	EDMOND	OK	73013	OKLAHOMA	S	9143	10702005601	OXYCODONE	2.0	null	null	122953861	null	null	07302012	1.7930000000000001	200.0	138058	OXYCODONE HCI 10MG TABLETS USP	OXYCODONE HYDROCHLORIDE	TAB	1.5	KVK-Tech, Inc.	KVK-Tech, Inc.	Walgreen Co	10.0
RA0289000	DISTRIBUTOR	AMERISOURCEBERGEN DRUG CORP	null	9900 J.E.B. STUART PARKWAY	null	GLEN ALLEN	VA	23059	HENRICO	BP5737626	RETAIL PHARMACY	PHARMACY CORP OF AMERICA	null	PHARMERICA.	12240 KILN COURT	BELTSVILLE	MD	20705	PRINCE GEORGES	S	9193	00406035762	HYDROCODONE	1.0	null	null	null	null	null	10292012	0.3027	100.0	26844	HYDROCODONE BIT/ACETAMINOPHEN 5MG/50	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	SpecGx LLC	Mallinckrodt	AmerisourceBergen Drug	5.0
PM0030849	DISTRIBUTOR	MCKESSON CORPORATION	null	DBA MCKESSON DRUG CO.	38220 PLYMOUTH RD	LIVONIA	MI	48150	WAYNE	FP2042404	RETAIL PHARMACY	PHARMOR PHARMACY ST CLAIR SHORES	null	28001 HARPER AVENUE	null	ST CLAIR SHORES	MI	48081	MACOMB	S	9143	59011048010	OXYCODONE	2.0	null	null	12X000032	null	null	02232012	14.344000000000001	200.0	1202044705	OXYCONTIN 80MG OXYCODONE HCL CR TABL	OXYCODONE HYDROCHLORIDE	TAB	1.5	Purdue Pharma LP	Purdue Pharma LP	McKesson Corporation	80.0
RW0294493	DISTRIBUTOR	WALGREEN CO	null	28727 OREGON ROAD	ATTN: C II MANAGER	PERRYSBURG	OH	43551	WOOD	AW7462625	CHAIN PHARMACY	WALGREEN CO.	DBA: WALGREENS # 05667	6071 TELEGRAPH ROAD	null	ST LOUIS	MO	63129	SAINT LOUIS	S	9143	00591074905	OXYCODONE	1.0	null	null	117111855	null	null	03202012	2.24125	500.0	136740	OXYCODONE HYDROCHLORIDE 5MG&ACETAMIN	OXYCODONE HYDROCHLORIDE	TAB	1.5	Actavis Pharma, Inc.	Allergan, Inc.	Walgreen Co	5.0
RH0231124	DISTRIBUTOR	HARCO	DBA: TUSCALOOSA DISTRIBUTION	CENTER	3931 RICE MINE ROAD, NE	TUSCALOOSA	AL	35406	TUSCALOOSA	BR5716622	CHAIN PHARMACY	ECKERD CORPORATION	RITE AID #11796	1100 HAMMOND DRIVE	null	ATLANTA	GA	30328	FULTON	S	9193	00603389021	HYDROCODONE	1.0	null	null	null	null	null	08222012	0.3027	100.0	6181	HYDROCODONE BITARTRATE 5MG/ACETAMINO	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Harco	5.0
RW0191813	DISTRIBUTOR	CARDINAL HEALTH	null	801 C STREET NW, SUITE B	null	AUBURN	WA	98001	KING	AF1596115	CHAIN PHARMACY	FRED MEYER	null	14700 SE MC LOUGHLIN BLVD	null	PORTLAND	OR	97267	CLACKAMAS	S	9143	60951079770	OXYCODONE	1.0	null	null	116341221	null	null	04302012	0.8965	100.0	1204065394	ENDOCET TABS - 10MG OXYCODONE.HCL &	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Cardinal Health	10.0
RW0294493	DISTRIBUTOR	WALGREEN CO	null	28727 OREGON ROAD	ATTN: C II MANAGER	PERRYSBURG	OH	43551	WOOD	BW9593383	CHAIN PHARMACY	WALGREEN CO.	DBA: WALGREENS # 09360	8820 US 42	null	FLORENCE	KY	41042	BOONE	S	9193	00591054005	HYDROCODONE	1.0	null	null	null	null	null	08242012	3.0269999999999997	500.0	27649	HYDROCODONE BIT. 10MG/ACETAMINOPHEN	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Actavis Pharma, Inc.	Allergan, Inc.	Walgreen Co	10.0
RH0302567	DISTRIBUTOR	HAWTHORN PHARMACEUTICALS INC	null	135 INDUSTRIAL BLVD	null	MADISON	MS	39110	MADISON	AK6389705	PRACTITIONER	KELLUM, DANIEL H DO PA	null	7323 MARBACH RD STE 104	null	SAN ANTONIO	TX	78227	BEXAR	S	9193	63717090299	HYDROCODONE	30.0	null	null	null	null	null	03132012	0.18162	30.0	27168	REPREXAIN - HYDROCODONE BIT./IBUPROP	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Hawthorn Pharmaceuticals, Inc.	Hawthorn Pharmaceuticals, Inc.	Hawthorn Pharmaceuticals Inc	10.0
RC0315108	DISTRIBUTOR	CVS PHARMACY, INC.	null	225 HARPERS LANDING BLVD	null	CONROE	TX	77385	MONTGOMERY	BC5355373	CHAIN PHARMACY	CVS PHARMACY, INC.	DBA: CVS/PHARMACY  # 07784	110 S KING ST	null	SEGUIN	TX	78155	GUADALUPE	S	9193	00603388728	HYDROCODONE	12.0	null	null	null	null	null	01312012	36.324	6000.0	22040	HYDROCODONE.BIT./ACET.,10MG & 325MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	CVS	10.0
PW0186785	DISTRIBUTOR	WAL-MART PHARM WAREHOUSE #1	null	2252 NORTH 8TH STREET	null	ROGERS	AR	72756	BENTON	BW5566192	CHAIN PHARMACY	WAL-MART PHARMACY 10-0608	null	4517 N. MIDLAND DRIVE	null	MIDLAND	TX	79707	MIDLAND	S	9193	00406035801	HYDROCODONE	2.0	null	null	null	null	null	04042012	0.9081	200.0	1204047897	HYDROCODONE BIT/ACETA 7.5MG/500MG US	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	SpecGx LLC	Mallinckrodt	Wal-Mart	7.5
RW0308216	DISTRIBUTOR	WALGREEN CO	null	DBA: WALGREENS	17500 PERRIS BLVD	MORENO VALLEY	CA	92551	RIVERSIDE	BW7042461	CHAIN PHARMACY	WALGREEN CO.	DBA: WALGREENS # 05311	1180 E FLAMINGO RD	null	LAS VEGAS	NV	89119	CLARK	S	9193	00591085305	HYDROCODONE	1.0	null	null	null	null	null	01302012	3.0269999999999997	500.0	7583	HYDROCODONE BIT. 10MG/ACETAMINOPHEN	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Actavis Pharma, Inc.	Allergan, Inc.	Walgreen Co	10.0
